"id","x","y","subplot"
"1601A",410895.45,4020088.79,"T3-SW"
"1601B",410976.72,4020107.38,"T3-SW"
"1602A",410835.32,4020579.13,"T3-SW"
"1602B",410900.47,4020594.39,"T3-SW"
"1602C",411213.46,4020321.13,"T3-SW"
"1602D",411298.41,4020333.92,"T3-SW"
"1603A",411078.56,4021288.42,"T3-SW"
"1603B",411170.58,4021304.69,"T3-SW"
"1603C",411167.82,4020939.14,"T3-SW"
"1603D",411272.89,4020925.61,"T3-SW"
"1604A",411836.29,4021151.27,"T3-SW"
"1604B",411785.09,4021140.22,"T3-SW"
"1604C",411479.66,4021452.08,"T3-SW"
"1604D",411595.46,4021426.24,"T3-SW"
"1605A",411710.28,4020410.68,"T3-SW"
"1605B",411645.67,4020405.58,"T3-SW"
"1605C",411672.2,4020678.41,"T3-SW"
"1605D",411575.04,4020685.02,"T3-SW"
"1600B",410224.91,4020437.68,"T2-2"
"1600A",410294.05,4020439.41,"T2-2"
"1609A",413031.31,4020861.07,"T3-SE"
"1614A",411659.22,4022026.73,"T2-4"
"1617B",412776.9,4022056.3,"T3-NE"
"1617A",412824.7,4022025.2,"T3-NE"
"1614B",411607.25,4022033.18,"T2-4"
"1617C",412727.11,4022049.48,"T3-NE"
"1620A",413826.89,4022180.6,"T5-4"
"1621A",413866.34,4021967.98,"T5-4"
"1615B",412113.83,4022377.39,"T2-4"
"1619A",413693.83,4022157.4,"T5-4"
"1615A",412189.45,4022355.66,"T2-4"
"1618A",413683.3,4021947.28,"T5-4"
"1606A",412286.75,4021176.88,"T3-SE"
"1608C",412880.83,4021358.46,"T3-SE"
"1606C",412377.83,4021187.92,"T3-SE"
"1608B",413218.42,4021430.26,"T3-SE"
"1612A",411109.81,4021905.37,"T2-3"
"1613A",411557.85,4021771.77,"T2-3"
"1616A",412333.47,4021935.08,"T3-NE"
"1607B",412558.95,4021534.41,"T3-SE"
"1608A",412952.61,4021364.4,"T3-SE"
"1616B",412267.07,4021919.11,"T3-NE"
"1606B",412379.16,4021048.83,"T3-SE"
"1612B",411412.13,4022035.46,"T2-3"
"1607A",411915.3,4021324.95,"T3-SE"
"1613B",411604.26,4021781.06,"T2-3"
"1639B",417022.3,4027263.92,"T12"
"1637A",416544.67,4027059.62,"T12"
"1632B",422139.57,4037063.26,"T24"
"1634A",421936.79,4037426.63,"T24"
"1639A",416865.66,4027073.73,"T12"
"1637B",416684.12,4027271.16,"T12"
"1633A",422079.66,4037304.53,"T24"
"1638A",416686.84,4027618.92,"T12"
"1632A",422198.56,4037105.02,"T24 ADDITION"
"1640A",417036.07,4027634.21,"T12"
"1631B",422243.79,4036896.69,"T24 ADDITION"
"1631A",422299.03,4036932.25,"T24 ADDITION"
"1638B",416531,4027763.87,"T12"
"1640B",416853.72,4027811.35,"T12"
"1635C",415575.02,4039660.35,"T29"
"1636B",415240.09,4039775.46,"T29"
"1636A",415341.43,4039788.67,"T24"
"1635A",415707.15,4039652.74,"T29"
"1635B",415649.35,4039687.14,"T29"
