"site","trimble.x","trimble.y"
"1619A",413690.453438725,4022153.73428267
"1618A",413679.969021412,4021947.57353262
"1615A",412188.910718486,4022355.84999613
"1615B",412115.045541891,4022379.2636024
"1614A",411658.407311768,4022029.48325019
"1614B",411608.758957415,4022038.46583847
"1612A",411107.42219009,4021903.71241376
"1612B",411176.319653532,4021898.33821385
"1613B",411602.645994482,4021779.92217369
"1621A",413864.335992717,4021966.21521101
"1620A",413826.427400266,4022179.72707197
"1608A",412951.907677345,4021361.94757259
"1608B",412913.666807747,4021360.18759757
"1608C",412879.096372446,4021357.50559728
"1609B",412977.56305697,4020828.92745918
"1609A",413030.642170202,4020858.26272391
"1607A",411911.720357501,4021324.64025851
"1607B",411938.063398385,4021331.25726052
"1604A",411837.390530861,4021150.68698462
"1604B",411786.190120524,4021139.63709852
"1606A",411967.54263842,4020962.84246314
"1606B",412012.737638905,4020959.46106512
"1606C",412064.371209383,4020969.05586708
"1605A",411711.383715316,4020410.10050039
"1605B",411646.768171167,4020404.99838544
"1601A",410896.557270459,4020088.20941946
"1601B",410977.82396975,4020106.79903096
"1602A",410836.422893647,4020578.5496909
"1602B",410901.573254296,4020593.81481287
"1600A",410290.979070715,4020437.82837025
"1600B",410222.805139954,4020436.35013877
"1603A",411079.657788105,4021287.84144585
"1603B",411171.686254083,4021304.11370774
"1635C",415574.572663517,4039659.63927686
"1635B",415647.028671045,4039685.4605415
"1635A",415707.485995263,4039653.06904266
"1636A",415340.091271667,4039788.74707316
"1636B",415240.836164358,4039774.62149666
"1639A",416865.733333174,4027072.12085351
"1637A",416542.790557883,4027059.93296557
"1637B",416683.013005923,4027268.49430583
"1639B",417022.891373973,4027265.05592935
"1638A",416685.342126987,4027618.07623284
"1640A",417033.434397565,4027633.25691602
"1640B",416851.534051618,4027808.31111151
"1638B",416530.22722064,4027764.04465788
"1617A",412824.079776879,4022025.59400387
"1617B",412773.489440682,4022054.49880164
"1617C",412725.883220338,4022051.03179473
"1616A",412333.828775439,4021932.89903621
"1616B",412266.079626659,4021917.61097354
"1631A",422298.052951244,4036930.53962166
"1631B",422244.237559868,4036896.75214604
"1632A",422199.768668883,4037101.78759215
"1632B",422139.1923751,4037063.41233305
"1633A",422077.992680442,4037303.9648566
"1634A",421937.445130918,4037425.71512733
